         40798570 function calls (37941678 primitive calls) in 660.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
218120/18620    0.468    0.000  636.205    0.034 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
218120/18620    0.869    0.000  636.170    0.034 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1777(_call_impl)
     1330    0.007    0.000  609.297    0.458 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:88(__exit__)
     1330    0.010    0.000  608.597    0.458 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/tracing/contexts/tracer.py:19(__exit__)
89110/18620    0.401    0.000  608.512    0.033 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:277(execute)
     1330    0.010    0.000  608.483    0.458 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/tracing/contexts/base.py:67(__exit__)
     1330    0.010    0.000  608.187    0.457 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/tracing/backends/base.py:21(__call__)
     1330    0.062    0.000  607.906    0.457 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:138(execute)
     1330    0.009    0.000  607.206    0.457 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/base.py:316(interleave)
     1330    0.006    0.000  606.854    0.456 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/base.py:452(_execute)
200830/1330    1.489    0.000  606.767    0.456 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1789(inner)
     1330    0.071    0.000  606.738    0.456 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1035(forward)
     1330    0.308    0.000  571.049    0.429 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:773(forward)
    15960    0.083    0.000  532.385    0.033 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/modeling_layers.py:61(__call__)
    18620    0.086    0.000  507.982    0.027 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/linear.py:124(forward)
    18620  507.879    0.027  507.879    0.027 {built-in method torch._C._nn.linear}
    18620    0.043    0.000  478.498    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:113(output_hook)
    18620    0.065    0.000  478.456    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:58(<lambda>)
    18620    0.222    0.000  478.391    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/protocols/intervention.py:13(intervene)
    19950    0.263    0.000  477.791    0.024 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/graph/graph.py:221(execute)
    34580    0.432    0.000  475.911    0.014 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/nnsight/intervention/protocols/module.py:62(execute)
    15960    0.638    0.000   90.192    0.006 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:396(forward)
    63840    0.582    0.000   75.515    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/pytorch_utils.py:114(forward)
    63840   74.089    0.001   74.089    0.001 {built-in method torch.addmm}
