         611415 function calls (563005 primitive calls) in 11.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1927    0.083    0.000    7.084    0.004 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:138(<listcomp>)
    26978    6.595    0.000    6.595    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
26696/5781    0.032    0.000    4.144    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
26696/5781    0.062    0.000    4.136    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1777(_call_impl)
    94/47    0.001    0.000    3.762    0.080 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/utils/generic.py:953(wrapper)
       47    0.001    0.000    3.762    0.080 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/opt/modeling_opt.py:778(forward)
       47    0.121    0.003    3.755    0.080 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/opt/modeling_opt.py:503(forward)
     1880    0.004    0.000    2.544    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/modeling_layers.py:61(__call__)
     1880    0.085    0.000    2.528    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/opt/modeling_opt.py:222(forward)
     1880    0.081    0.000    1.716    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/opt/modeling_opt.py:141(forward)
    13254    0.026    0.000    1.673    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/linear.py:124(forward)
    13254    1.637    0.000    1.637    0.000 {built-in method torch._C._nn.linear}
       94    0.000    0.000    0.398    0.004 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/sparse.py:191(forward)
       94    0.000    0.000    0.398    0.004 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2432(embedding)
       94    0.397    0.004    0.397    0.004 {built-in method torch.embedding}
       47    0.000    0.000    0.361    0.008 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/opt/modeling_opt.py:379(_update_causal_mask)
       47    0.222    0.005    0.360    0.008 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/modeling_attn_mask_utils.py:249(_ignore_causal_mask_sdpa)
    26978    0.324    0.000    0.324    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
     5687    0.015    0.000    0.269    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/normalization.py:216(forward)
     5687    0.011    0.000    0.249    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2884(layer_norm)
     5687    0.232    0.000    0.232    0.000 {built-in method torch.layer_norm}
     1927    0.005    0.000    0.230    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/loss.py:1309(forward)
     1927    0.003    0.000    0.224    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:3379(cross_entropy)
     1927    0.219    0.000    0.219    0.000 {built-in method torch._C._nn.cross_entropy_loss}
     1880    0.013    0.000    0.189    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/integrations/sdpa_attention.py:43(sdpa_attention_forward)
     7567    0.162    0.000    0.162    0.000 {method 'view' of 'torch._C.TensorBase' objects}
     1880    0.002    0.000    0.142    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/activation.py:134(forward)
     1880    0.002    0.000    0.140    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1690(relu)
     1880    0.138    0.000    0.138    0.000 {built-in method torch.relu}
       47    0.138    0.003    0.138    0.003 {built-in method torch.all}
     1974    0.127    0.000    0.127    0.000 {built-in method torch.cumsum}
     1880    0.097    0.000    0.097    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
       47    0.081    0.002    0.081    0.002 {built-in method torch.ones}
       47    0.080    0.002    0.080    0.002 {built-in method torch.arange}
       47    0.006    0.000    0.075    0.002 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:105(<listcomp>)
      705    0.004    0.000    0.075    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2827(__call__)
       47    0.075    0.002    0.075    0.002 {built-in method torch.stack}
      705    0.002    0.000    0.070    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2925(_call_one)
     9447    0.064    0.000    0.064    0.000 {method 'contiguous' of 'torch._C.TensorBase' objects}
      658    0.003    0.000    0.060    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3043(encode_plus)
      658    0.001    0.000    0.057    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:118(_encode_plus)
      705    0.002    0.000    0.056    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:109(_batch_encode_plus)
      658    0.002    0.000    0.055    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:603(_encode_plus)
      705    0.005    0.000    0.055    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:512(_batch_encode_plus)
    26978    0.054    0.000    0.054    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
       47    0.052    0.001    0.052    0.001 {built-in method torch.equal}
    60959    0.039    0.000    0.039    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1949(__getattr__)
     3337    0.033    0.000    0.033    0.000 {built-in method torch.tensor}
     1927    0.031    0.000    0.031    0.000 {built-in method torch.tensor_split}
      705    0.002    0.000    0.025    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:220(__init__)
     3760    0.013    0.000    0.025    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1398(dropout)
       94    0.000    0.000    0.023    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1161(__iter__)
       47    0.000    0.000    0.023    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:1322(__init__)
       47    0.000    0.000    0.023    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:1080(__init__)
    26978    0.022    0.000    0.022    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
       47    0.000    0.000    0.022    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:1887(parse_processor_args)
      141    0.000    0.000    0.022    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1465(display)
     9447    0.021    0.000    0.021    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
       47    0.000    0.000    0.021    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/inspect.py:3261(signature)
       47    0.000    0.000    0.021    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/inspect.py:3007(from_callable)
       47    0.001    0.000    0.021    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/inspect.py:2435(_signature_from_callable)
    31913    0.021    0.000    0.021    0.000 {built-in method torch._C._get_tracing_state}
      705    0.005    0.000    0.020    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:689(convert_to_tensors)
       47    0.000    0.000    0.019    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/inspect.py:2315(_signature_from_builtin)
     1974    0.004    0.000    0.019    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:1176(__iter__)
       47    0.001    0.000    0.019    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/inspect.py:2172(_signature_fromstr)
       94    0.000    0.000    0.019    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1326(refresh)
      705    0.018    0.000    0.018    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
       47    0.001    0.000    0.016    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1199(update)
     8695    0.003    0.000    0.015    0.000 {built-in method builtins.len}
     1880    0.002    0.000    0.014    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:976(_wrapped_update)
     3760    0.013    0.000    0.013    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
      141    0.000    0.000    0.013    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:460(print_status)
       47    0.003    0.000    0.012    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:953(__init__)
     1880    0.002    0.000    0.012    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:1175(update)
     1974    0.012    0.000    0.012    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
     3243    0.007    0.000    0.012    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:1160(__len__)
12079/6063    0.009    0.000    0.011    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/configuration_utils.py:208(__getattribute__)
     1410    0.001    0.000    0.011    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:726(as_tensor)
      376    0.000    0.000    0.010    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/utils.py:193(inner)
      141    0.000    0.000    0.010    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:454(fp_write)
      235    0.010    0.000    0.010    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1927    0.006    0.000    0.009    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/cache_utils.py:1155(append_new_layers)
     1927    0.009    0.000    0.009    0.000 {method 'copy' of 'dict' objects}
      141    0.001    0.000    0.008    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1151(__str__)
       47    0.000    0.000    0.007    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3143(batch_encode_plus)
       47    0.007    0.000    0.007    0.000 {method 'long' of 'torch._C.TensorBase' objects}
     3760    0.007    0.000    0.007    0.000 {built-in method torch.dropout}
    26978    0.007    0.000    0.007    0.000 {method 'tolist' of 'numpy.ndarray' objects}
