         990660 function calls (921780 primitive calls) in 94.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
41205/7995    0.066    0.000   93.738    0.012 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1514(_wrapped_call_impl)
41205/7995    0.143    0.000   93.714    0.012 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1520(_call_impl)
     2870    0.014    0.000   72.523    0.025 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/linear.py:113(forward)
     2870   72.507    0.025   72.507    0.025 {built-in method torch._C._nn.linear}
      205    0.006    0.000   18.851    0.092 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1043(forward)
      205    0.036    0.000   13.578    0.066 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
     2460    0.067    0.000   13.467    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
     9840    0.056    0.000   11.780    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/pytorch_utils.py:105(forward)
     9840   11.657    0.001   11.657    0.001 {built-in method torch.addmm}
     2460    0.028    0.000    8.641    0.004 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:353(forward)
     2665    0.024    0.000    7.428    0.003 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/loss.py:1178(forward)
     2665    0.015    0.000    7.398    0.003 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2963(cross_entropy)
     2665    7.379    0.003    7.379    0.003 {built-in method torch._C._nn.cross_entropy_loss}
     2460    0.046    0.000    4.581    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
     2460    0.256    0.000    0.571    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/activations.py:55(forward)
     2460    0.140    0.000    0.488    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
     2460    0.262    0.000    0.262    0.000 {built-in method torch.tanh}
     7585    0.030    0.000    0.236    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/normalization.py:195(forward)
     2136    0.009    0.000    0.230    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2724(__call__)
      205    0.020    0.000    0.228    0.001 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:105(<listcomp>)
     2665    0.054    0.000    0.221    0.000 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:138(<listcomp>)
     2136    0.007    0.000    0.220    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2813(_call_one)
     7585    0.038    0.000    0.197    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2528(layer_norm)
     1931    0.007    0.000    0.186    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2925(encode_plus)
     2136    0.005    0.000    0.176    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:155(_batch_encode_plus)
     1931    0.004    0.000    0.174    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:164(_encode_plus)
     2136    0.015    0.000    0.171    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:469(_batch_encode_plus)
     1931    0.006    0.000    0.169    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:554(_encode_plus)
     4920    0.162    0.000    0.162    0.000 {built-in method torch.matmul}
     7585    0.145    0.000    0.145    0.000 {built-in method torch.layer_norm}
      410    0.002    0.000    0.089    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1161(__iter__)
     6937    0.087    0.000    0.087    0.000 {built-in method torch.tensor}
      205    0.082    0.000    0.082    0.000 {built-in method torch.equal}
      615    0.002    0.000    0.080    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1465(display)
    25103    0.075    0.000    0.075    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     7585    0.013    0.000    0.071    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/dropout.py:57(forward)
     2136    0.006    0.000    0.070    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:203(__init__)
      410    0.002    0.000    0.068    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1326(refresh)
     2870    0.015    0.000    0.068    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:980(__iter__)
    29930    0.065    0.000    0.065    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     2460    0.018    0.000    0.065    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:849(split)
    77285    0.064    0.000    0.064    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1682(__getattr__)
     2136    0.064    0.000    0.064    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
      205    0.003    0.000    0.058    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1199(update)
     7585    0.030    0.000    0.058    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1249(dropout)
     2460    0.010    0.000    0.056    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:282(_merge_heads)
     2665    0.056    0.000    0.056    0.000 {built-in method torch.tensor_split}
     2136    0.013    0.000    0.053    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:680(convert_to_tensors)
     2460    0.003    0.000    0.050    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1826(softmax)
     2460    0.049    0.000    0.049    0.000 {built-in method torch.pow}
     7380    0.013    0.000    0.047    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:274(_split_heads)
