         1187900 function calls (1162700 primitive calls) in 263.160 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
15075/2925    0.024    0.000  261.340    0.089 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1514(_wrapped_call_impl)
15075/2925    0.056    0.000  261.330    0.089 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1520(_call_impl)
     1050    0.005    0.000  189.609    0.181 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/linear.py:113(forward)
     1050  189.603    0.181  189.603    0.181 {built-in method torch._C._nn.linear}
      975    0.011    0.000   44.542    0.046 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/loss.py:1178(forward)
      975    0.006    0.000   44.529    0.046 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2963(cross_entropy)
      975   44.522    0.046   44.522    0.046 {built-in method torch._C._nn.cross_entropy_loss}
       75    0.002    0.000   40.726    0.543 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1043(forward)
       75    0.017    0.000   27.042    0.361 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
      900    0.090    0.000   26.979    0.030 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
     3600    0.020    0.000   23.277    0.006 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/pytorch_utils.py:105(forward)
     3600   23.234    0.006   23.234    0.006 {built-in method torch.addmm}
      900    0.010    0.000   17.854    0.020 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:353(forward)
      900    0.016    0.000    8.872    0.010 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
      900    0.663    0.001    2.241    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/activations.py:55(forward)
      900    1.467    0.002    1.467    0.002 {built-in method torch.tanh}
      900    0.078    0.000    1.054    0.001 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
     1800    0.608    0.000    0.608    0.000 {built-in method torch.matmul}
      300    0.052    0.000    0.560    0.002 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:105(<listcomp>)
     6663    0.022    0.000    0.520    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2724(__call__)
     6663    0.016    0.000    0.495    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2813(_call_one)
       75    0.465    0.006    0.465    0.006 {built-in method torch.equal}
     3900    0.129    0.000    0.464    0.000 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:138(<listcomp>)
     6588    0.018    0.000    0.449    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2925(encode_plus)
     6588    0.010    0.000    0.419    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:164(_encode_plus)
     6588    0.016    0.000    0.408    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:554(_encode_plus)
     6663    0.013    0.000    0.387    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:155(_batch_encode_plus)
     6663    0.036    0.000    0.373    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:469(_batch_encode_plus)
     2775    0.011    0.000    0.252    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/normalization.py:195(forward)
     2775    0.012    0.000    0.238    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:2528(layer_norm)
      900    0.001    0.000    0.234    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1826(softmax)
      900    0.233    0.000    0.233    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
     2775    0.221    0.000    0.221    0.000 {built-in method torch.layer_norm}
     6663    0.015    0.000    0.175    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:203(__init__)
    85644    0.145    0.000    0.145    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     6663    0.031    0.000    0.133    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:680(convert_to_tensors)
     6663    0.118    0.000    0.118    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
    17226    0.113    0.000    0.113    0.000 {built-in method torch.tensor}
      900    0.110    0.000    0.110    0.000 {built-in method torch.pow}
      900    0.097    0.000    0.097    0.000 {built-in method torch.where}
     3900    0.087    0.000    0.087    0.000 {built-in method torch.tensor_split}
    85644    0.082    0.000    0.082    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
    13326    0.010    0.000    0.080    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:717(as_tensor)
    85644    0.062    0.000    0.062    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
       75    0.059    0.001    0.059    0.001 {built-in method torch.stack}
28166/28091    0.008    0.000    0.047    0.000 {built-in method builtins.len}
    14151    0.021    0.000    0.039    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:964(__len__)
      900    0.004    0.000    0.037    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:282(_merge_heads)
     1050    0.007    0.000    0.033    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:980(__iter__)
    30276    0.033    0.000    0.033    0.000 {built-in method torch._C._get_tracing_state}
    13476    0.005    0.000    0.031    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3818(_eventual_warn_about_too_long_sequence)
      900    0.028    0.000    0.028    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    85644    0.027    0.000    0.027    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
     2775    0.004    0.000    0.027    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/dropout.py:57(forward)
       75    0.000    0.000    0.026    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3021(batch_encode_plus)
       76    0.001    0.000    0.026    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1161(__iter__)
     6663    0.005    0.000    0.026    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/collections/__init__.py:1111(__init__)
       75    0.001    0.000    0.025    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1199(update)
     6663    0.005    0.000    0.025    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:516(<listcomp>)
       76    0.000    0.000    0.025    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1326(refresh)
    28275    0.024    0.000    0.024    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/modules/module.py:1682(__getattr__)
       77    0.000    0.000    0.024    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/tqdm/std.py:1465(display)
     2775    0.011    0.000    0.023    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/nn/functional.py:1249(dropout)
    10950    0.022    0.000    0.022    0.000 {method 'view' of 'torch._C._TensorBase' objects}
      900    0.006    0.000    0.022    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/torch/_tensor.py:849(split)
     6663    0.010    0.000    0.021    0.000 <frozen _collections_abc>:941(update)
     6888    0.018    0.000    0.020    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:267(_convert_encoding)
    96525    0.014    0.000    0.019    0.000 {built-in method builtins.isinstance}
