         28085430 function calls (26885557 primitive calls) in 781.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
216600/9000    0.407    0.000  557.870    0.062 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
216600/9000    1.268    0.000  557.790    0.062 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1755(_call_impl)
     7800    0.139    0.000  382.977    0.049 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/loss.py:1296(forward)
     7800    0.070    0.000  382.821    0.049 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:3404(cross_entropy)
     7800  382.742    0.049  382.742    0.049 {built-in method torch._C._nn.cross_entropy_loss}
      600    0.050    0.000  202.901    0.338 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/functional.py:225(einsum)
      600  202.840    0.338  202.840    0.338 {built-in method torch.einsum}
      600    0.046    0.000  178.374    0.297 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:685(run_with_cache)
      600    0.025    0.000  178.322    0.297 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:502(run_with_cache)
      600    0.094    0.000  172.454    0.287 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:496(forward)
     7200    2.123    0.000  135.730    0.019 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:101(forward)
    15000    0.163    0.000   86.944    0.006 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:21(batch_addmm)
    15000    0.031    0.000   86.421    0.006 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:9(vanilla_addmm)
    15000   86.390    0.006   86.390    0.006 {built-in method torch.addmm}
     7200    0.063    0.000   72.637    0.010 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:202(apply_mlp)
     7200    0.135    0.000   72.142    0.010 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/mlps/mlp.py:32(forward)
     7200    0.579    0.000   45.794    0.006 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:182(forward)
      600    0.007    0.000   32.206    0.054 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/unembed.py:28(forward)
     7200    0.448    0.000   27.289    0.004 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:356(calculate_qkv_matrices)
