         25139169 function calls (23771706 primitive calls) in 666.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
98400/8400    0.188    0.000  646.814    0.077 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
98400/8400    0.363    0.000  646.791    0.077 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1755(_call_impl)
     7800    0.036    0.000  335.217    0.043 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/loss.py:1296(forward)
     7800    0.041    0.000  335.169    0.043 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:3404(cross_entropy)
     7800  335.124    0.043  335.124    0.043 {built-in method torch._C._nn.cross_entropy_loss}
      600    0.002    0.000  319.018    0.532 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:88(__exit__)
      600    0.003    0.000  318.777    0.531 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/tracing/contexts/tracer.py:19(__exit__)
      600    0.003    0.000  318.747    0.531 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/tracing/contexts/base.py:67(__exit__)
      600    0.006    0.000  318.659    0.531 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/tracing/backends/base.py:21(__call__)
40200/8400    0.474    0.000  313.090    0.037 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:277(execute)
      600    0.897    0.001  312.839    0.521 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:138(execute)
      600    0.005    0.000  311.705    0.520 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/base.py:315(interleave)
      600    0.003    0.000  311.563    0.519 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/base.py:448(_execute)
90600/600    1.909    0.000  311.524    0.519 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1767(inner)
      600    0.016    0.000  311.503    0.519 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1030(forward)
      600    0.415    0.001  295.533    0.493 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:762(forward)
     8400    0.027    0.000  218.292    0.026 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/linear.py:124(forward)
     8400  218.260    0.026  218.260    0.026 {built-in method torch._C._nn.linear}
     8400    0.010    0.000  205.900    0.025 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:113(output_hook)
     8400    0.037    0.000  205.890    0.025 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:58(<lambda>)
     8400    0.700    0.000  205.853    0.025 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/protocols/intervention.py:80(intervene)
     9000    0.082    0.000  205.023    0.023 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/nnsight/intervention/graph/graph.py:221(execute)
