         28100790 function calls (26900917 primitive calls) in 772.575 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
216600/9000    0.439    0.000  549.932    0.061 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
216600/9000    1.276    0.000  549.847    0.061 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1755(_call_impl)
     7800    0.118    0.000  375.436    0.048 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/loss.py:1296(forward)
     7800    0.080    0.000  375.298    0.048 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:3404(cross_entropy)
     7800  375.211    0.048  375.211    0.048 {built-in method torch._C._nn.cross_entropy_loss}
      600    0.040    0.000  199.094    0.332 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/functional.py:225(einsum)
      600  199.042    0.332  199.042    0.332 {built-in method torch.einsum}
      600    0.032    0.000  178.919    0.298 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:685(run_with_cache)
      600    0.016    0.000  178.884    0.298 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:502(run_with_cache)
      600    0.085    0.000  172.037    0.287 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:496(forward)
     7200    2.464    0.000  136.708    0.019 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:101(forward)
    15000    0.172    0.000   81.310    0.005 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:21(batch_addmm)
    15000    0.030    0.000   80.771    0.005 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:9(vanilla_addmm)
    15000   80.741    0.005   80.741    0.005 {built-in method torch.addmm}
     7200    0.053    0.000   71.486    0.010 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:202(apply_mlp)
     7200    0.137    0.000   71.000    0.010 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/mlps/mlp.py:32(forward)
     7200    0.615    0.000   46.046    0.006 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:182(forward)
      600    0.004    0.000   30.683    0.051 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/unembed.py:28(forward)
     7200    0.581    0.000   28.189    0.004 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:356(calculate_qkv_matrices)
    21600    0.187    0.000   26.797    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/attention.py:12(simple_attn_linear)
     7200    8.701    0.001   19.422    0.003 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:172(gelu_new)
    30000    9.985    0.000   17.950    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/layer_norm.py:38(forward)
    28800   16.932    0.001   16.932    0.001 {built-in method torch._C._nn.linear}
    87000    0.377    0.000   15.155    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:460(reduce)
    86400    0.104    0.000   15.150    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:545(rearrange)
    87000    0.275    0.000   14.578    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:230(_apply_recipe)
    79200   14.456    0.000   14.456    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
    50400    0.031    0.000   13.940    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:92(reshape)
     7200    9.228    0.001    9.228    0.001 {built-in method torch.tanh}
    53615    0.386    0.000    8.894    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:758(to_tokens)
     2368    0.099    0.000    8.425    0.004 /Users/erikzeiner/currentGit/surprisal_internal_layers/src/EZ_run_gpt2_transformer_lens.py:78(<listcomp>)
    53615    0.218    0.000    6.779    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2810(__call__)
     1203    0.002    0.000    6.606    0.005 {built-in method builtins.next}
     1200    0.068    0.000    6.604    0.006 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:370(hooks)
    53615    0.157    0.000    6.534    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2902(_call_one)
    53615    0.196    0.000    6.344    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3020(encode_plus)
    53615    0.090    0.000    5.233    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:118(_encode_plus)
    53615    0.179    0.000    5.137    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:589(_encode_plus)
    53615    0.114    0.000    4.926    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:109(_batch_encode_plus)
    53615    0.350    0.000    4.807    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:498(_batch_encode_plus)
      600    0.001    0.000    4.738    0.008 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/contextlib.py:132(__enter__)
   168000    0.086    0.000    4.665    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:355(_enable_hook)
   168000    0.102    0.000    4.569    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:326(_enable_hook_with_name)
   153600    0.631    0.000    4.546    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1767(inner)
   168000    0.307    0.000    4.467    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:76(add_hook)
     7200    4.022    0.001    4.190    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:445(calculate_attention_scores)
   168000    0.221    0.000    4.101    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1658(register_forward_hook)
      600    0.037    0.000    4.007    0.007 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:339(input_to_embed)
   168000    3.758    0.000    3.880    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/utils/hooks.py:24(__init__)
