         28152696 function calls (26952834 primitive calls) in 609.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
216600/9000    0.284    0.000  437.455    0.049 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
216600/9000    0.947    0.000  437.415    0.049 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1755(_call_impl)
     7800    0.055    0.000  334.583    0.043 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/loss.py:1296(forward)
     7800    0.044    0.000  334.512    0.043 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/functional.py:3404(cross_entropy)
     7800  334.462    0.043  334.462    0.043 {built-in method torch._C._nn.cross_entropy_loss}
      600    0.022    0.000  156.576    0.261 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/functional.py:225(einsum)
      600  156.550    0.261  156.550    0.261 {built-in method torch.einsum}
      600    0.022    0.000  105.867    0.176 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:685(run_with_cache)
      600    0.010    0.000  105.844    0.176 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:502(run_with_cache)
      600    0.065    0.000  101.114    0.169 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:496(forward)
     7200    1.629    0.000   81.347    0.011 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:101(forward)
    15000    0.128    0.000   50.589    0.003 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:21(batch_addmm)
    15000    0.022    0.000   50.193    0.003 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/addmm.py:9(vanilla_addmm)
    15000   50.170    0.003   50.170    0.003 {built-in method torch.addmm}
     7200    0.038    0.000   37.070    0.005 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/transformer_block.py:202(apply_mlp)
     7200    0.088    0.000   36.693    0.005 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/mlps/mlp.py:32(forward)
     7200    0.567    0.000   31.894    0.004 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:182(forward)
     7200    0.508    0.000   19.402    0.003 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/abstract_attention.py:356(calculate_qkv_matrices)
    21600    0.130    0.000   17.828    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utilities/attention.py:12(simple_attn_linear)
      600    0.001    0.000   16.674    0.028 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/unembed.py:28(forward)
    28800   11.909    0.000   11.909    0.000 {built-in method torch._C._nn.linear}
    30000    6.345    0.000   11.598    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/components/layer_norm.py:38(forward)
    86400    0.067    0.000    9.333    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:545(rearrange)
    87000    0.255    0.000    9.316    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:460(reduce)
    87000    0.192    0.000    8.914    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/einops.py:230(_apply_recipe)
    79200    8.831    0.000    8.831    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
    50400    0.022    0.000    8.485    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:92(reshape)
    53615    0.247    0.000    6.160    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/HookedTransformer.py:758(to_tokens)
     2368    0.085    0.000    5.854    0.002 /Users/erikzeiner/currentGit/surprisal_internal_layers/src/EZ_run_gpt2_transformer_lens.py:78(<listcomp>)
     1200    0.002    0.000    4.574    0.004 {built-in method builtins.next}
     1200    0.052    0.000    4.572    0.004 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:370(hooks)
    53615    0.153    0.000    4.547    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2810(__call__)
    53615    0.113    0.000    4.373    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2902(_call_one)
    53615    0.142    0.000    4.231    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3020(encode_plus)
   153600    0.439    0.000    3.846    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/nn/modules/module.py:1767(inner)
    53615    0.063    0.000    3.457    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/models/gpt2/tokenization_gpt2_fast.py:118(_encode_plus)
