         1460333 function calls (1359325 primitive calls) in 26.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 7708/658    0.016    0.000   25.141    0.038 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
 7708/658    0.029    0.000   25.140    0.038 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/module.py:1777(_call_impl)
       47    0.000    0.000   23.970    0.510 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:88(__exit__)
       47    0.000    0.000   23.948    0.510 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/contexts/tracer.py:19(__exit__)
       47    0.000    0.000   23.946    0.509 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/contexts/base.py:67(__exit__)
 3149/658    0.012    0.000   23.877    0.036 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:277(execute)
       47    0.000    0.000   23.869    0.508 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/backends/base.py:21(__call__)
       47    0.002    0.000   23.857    0.508 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/contexts/interleaving.py:138(execute)
       47    0.000    0.000   23.834    0.507 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/base.py:316(interleave)
       47    0.000    0.000   23.822    0.507 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/base.py:452(_execute)
  7097/47    0.047    0.000   23.819    0.507 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/module.py:1789(inner)
       47    0.002    0.000   23.818    0.507 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1035(forward)
       47    0.011    0.000   22.562    0.480 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:773(forward)
      564    0.003    0.000   20.453    0.036 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/modeling_layers.py:61(__call__)
      658    0.003    0.000   18.043    0.027 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/linear.py:124(forward)
      658   18.040    0.027   18.040    0.027 {built-in method torch._C._nn.linear}
      658    0.001    0.000   16.976    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:113(output_hook)
      658    0.002    0.000   16.975    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/interleaver.py:58(<lambda>)
      658    0.008    0.000   16.973    0.026 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/protocols/intervention.py:13(intervene)
      705    0.009    0.000   16.954    0.024 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/graph/graph.py:221(execute)
     1222    0.014    0.000   16.904    0.014 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/protocols/module.py:62(execute)
      564    0.021    0.000    5.013    0.009 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:396(forward)
     2256    0.019    0.000    4.420    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/pytorch_utils.py:114(forward)
     2256    4.375    0.002    4.375    0.002 {built-in method torch.addmm}
      564    0.006    0.000    3.050    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:372(forward)
      564    0.023    0.000    1.814    0.003 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:269(forward)
      611    0.002    0.000    1.317    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/loss.py:1309(forward)
      611    0.001    0.000    1.315    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/functional.py:3379(cross_entropy)
      611    1.313    0.002    1.313    0.002 {built-in method torch._C._nn.cross_entropy_loss}
     3149    0.006    0.000    0.645    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/graph.py:111(create)
     3760    0.005    0.000    0.640    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/intervention/graph/node.py:27(__init__)
     3760    0.010    0.000    0.636    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:35(__init__)
     3760    0.005    0.000    0.588    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:373(_meta_data)
     3149    0.009    0.000    0.581    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:385(traceback_str)
     3149    0.005    0.000    0.559    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/traceback.py:217(extract_stack)
     3149    0.003    0.000    0.553    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/traceback.py:372(extract)
     3149    0.071    0.000    0.550    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/traceback.py:394(_extract_from_extended_frame_gen)
       94    0.000    0.000    0.496    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/sparse.py:191(forward)
       94    0.000    0.000    0.495    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/functional.py:2432(embedding)
       94    0.495    0.005    0.495    0.005 {built-in method torch.embedding}
      705    0.001    0.000    0.252    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/protocols/base.py:14(add)
     1833    0.006    0.000    0.240    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/nnsight/tracing/graph/node.py:202(create)
    22184    0.019    0.000    0.220    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/linecache.py:52(checkcache)
      564    0.068    0.000    0.205    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/activations.py:46(forward)
    36002    0.020    0.000    0.204    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/traceback.py:313(line)
    22184    0.200    0.000    0.200    0.000 {built-in method posix.stat}
