         278443 function calls (261899 primitive calls) in 25.598 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8883/1833    0.014    0.000   25.293    0.014 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
8883/1833    0.028    0.000   25.288    0.014 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/module.py:1777(_call_impl)
      658    0.003    0.000   17.720    0.027 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/linear.py:124(forward)
      658   17.717    0.027   17.717    0.027 {built-in method torch._C._nn.linear}
       47    0.002    0.000    7.715    0.164 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:1035(forward)
       47    0.007    0.000    6.112    0.130 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:773(forward)
      564    0.002    0.000    5.636    0.010 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/modeling_layers.py:61(__call__)
      564    0.014    0.000    5.630    0.010 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:396(forward)
     2256    0.012    0.000    5.141    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/pytorch_utils.py:114(forward)
     2256    5.111    0.002    5.111    0.002 {built-in method torch.addmm}
      564    0.005    0.000    3.606    0.006 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:372(forward)
      564    0.018    0.000    1.847    0.003 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/models/gpt2/modeling_gpt2.py:269(forward)
      611    0.005    0.000    1.412    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/loss.py:1309(forward)
      611    0.004    0.000    1.406    0.002 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/functional.py:3379(cross_entropy)
      611    1.402    0.002    1.402    0.002 {built-in method torch._C._nn.cross_entropy_loss}
       94    0.000    0.000    0.432    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/sparse.py:191(forward)
       94    0.000    0.000    0.432    0.005 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/functional.py:2432(embedding)
       94    0.432    0.005    0.432    0.005 {built-in method torch.embedding}
     1739    0.006    0.000    0.177    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/modules/normalization.py:216(forward)
     1739    0.006    0.000    0.169    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/torch/nn/functional.py:2884(layer_norm)
     1739    0.160    0.000    0.160    0.000 {built-in method torch.layer_norm}
      564    0.057    0.000    0.151    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/activations.py:46(forward)
      564    0.083    0.000    0.083    0.000 {built-in method torch.tanh}
      705    0.004    0.000    0.078    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:2827(__call__)
       47    0.007    0.000    0.078    0.002 /gpfs/bwfor/home/tu/tu_tu/tu_zxolr37/surprisal_internal_layers/src/run_gpt2.py:105(<listcomp>)
      564    0.005    0.000    0.076    0.000 /home/tu/tu_tu/tu_zxolr37/.conda/envs/surprisal-cpu/lib/python3.11/site-packages/transformers/integrations/sdpa_attention.py:43(sdpa_attention_forward)
